Channel_ID,Channel_Name,DFIR_ID,YouTube_Video_ID,Video_URL,Video_Title,Transcript_File,Needs_Paste,Current_File_Preview_200c
C41,Belkasoft,V0363,Jsd2rGqVnfk,https://www.youtube.com/watch?v=Jsd2rGqVnfk,BelkaCTF #5 Solutions Video: PARTY GIRL—MISSING,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C41_Belkasoft/V0363.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C33,ESET,V0293,xpk-sqi0eFA,https://www.youtube.com/watch?v=xpk-sqi0eFA,ESET Threat Report H2 2025 Webinar | ESET Research,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C33_ESET/V0293.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C33,ESET,V0298,Htfzf6W5ACM,https://www.youtube.com/watch?v=Htfzf6W5ACM,What's new in ESET PROTECT for business (Spring 2025),/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C33_ESET/V0298.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C33,ESET,V0302,4mn7GT7_mYs,https://www.youtube.com/watch?v=4mn7GT7_mYs,Science and Innovation: Tackling Climate and Health Challenges,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C33_ESET/V0302.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C17,FIRST Conference,V0160,UQ2TixVmGBE,https://www.youtube.com/watch?v=UQ2TixVmGBE,Automated ATT&CK Technique Chaining,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C17_FIRST_Conference/V0160.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C49,LogRhythm,V0432,Diwn9whxgW8,https://www.youtube.com/watch?v=Diwn9whxgW8,Birth of a Whale,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C49_LogRhythm/V0432.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C31,Mandiant,V0276,zSgK1J_Ijbs,https://www.youtube.com/watch?v=zSgK1J_Ijbs,"EP20 Windows Under the Hood: Kernel Design, EDRs, and the Shift to VBS with Pavel Yosifovich",/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C31_Mandiant/V0276.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C06,Mandiant (Google Cloud Security),V0054,zSgK1J_Ijbs,https://www.youtube.com/watch?v=zSgK1J_Ijbs,"EP20 Windows Under the Hood: Kernel Design, EDRs, and the Shift to VBS with Pavel Yosifovich",/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C06_Mandiant_Google_Cloud_Security/V0054.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0133,G_vIAf3dEUU,https://www.youtube.com/watch?v=G_vIAf3dEUU,RSAC Innovation Showcase: AI-Informed Policy Guidance for Cyber Companies,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0133.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0134,BC8y69TpIbk,https://www.youtube.com/watch?v=BC8y69TpIbk,RSAC Innovation Showcase: Coding with AI: Can We Trust the Code We Ship?,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0134.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0135,NRUGujy-sis,https://www.youtube.com/watch?v=NRUGujy-sis,Cyber at the Top: Defining Strength─Building a Resilient Incident Response Capability,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0135.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0136,h2PB5UQCgd4,https://www.youtube.com/watch?v=h2PB5UQCgd4,Webcast: Escalation Paths to Attack Active Directory Certificate Services,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0136.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0137,TIlJ7Sa0Ir4,https://www.youtube.com/watch?v=TIlJ7Sa0Ir4,Webcast: Redefining Security in the Digital Age,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0137.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0138,4E_90kyu9J0,https://www.youtube.com/watch?v=4E_90kyu9J0,RSAC Innovation Showcase: Agentic Security for the Enterprise,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0138.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0139,H5cGTZffmW0,https://www.youtube.com/watch?v=H5cGTZffmW0,Traditional Sessions — RSAC Virtual Seminar: Security Strategy & Architecture,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0139.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0140,HSu0wV-BbcM,https://www.youtube.com/watch?v=HSu0wV-BbcM,Leadership Panel — RSAC Virtual Seminar: Security Strategy & Architecture,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0140.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0141,ef00ACf5ZeU,https://www.youtube.com/watch?v=ef00ACf5ZeU,Webcast: Building a Secure Al Assistant in a Regulated Industry,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0141.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C15,RSA Conference,V0142,8O_AFY9A4v4,https://www.youtube.com/watch?v=8O_AFY9A4v4,Webcast: Weaponized Malware vs. Encryption & Exfiltrating Data from Signal Messenger,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C15_RSA_Conference/V0142.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
C27,VX Underground,V0242,R9MG7McrEO8,https://www.youtube.com/watch?v=R9MG7McrEO8,[Archive] Ukraine Police arrest CLOP ransomware operators,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C27_VX_Underground/V0242.txt,True,[NO TRANSCRIPT AVAILABLE]\nProvider: local_asr_whisper\nReason: no_local_audio\nCaptionFlag(contentDetails.caption): false\nNotes:\n- API key-only access cannot download transcripts for channels you do not
